,headline,url
0,'Will explore legal options': Kotak Bank probing if Kingdon Capital hid Hindenburg Research links | Company Business News - Mint,https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3Mvd2lsbC1leHBsb3JlLWxlZ2FsLW9wdGlvbnMta290YWstYmFuay1wcm9iaW5nLWlmLWtpbmdkb24tY2FwaXRhbC1oaWQtaGluZGVuYnVyZy1yZXNlYXJjaC1saW5rcy0xMTcyMDQyODUxNTc0MS5odG1s0gEA?oc=5
1,ONGC Leads Nifty Gainers With 3% Gain As Market Ends Flat On Monday - Benzinga India,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW4uYmVuemluZ2EuY29tL2NvbnRlbnQvMzk2NjMxODEvb25nYy1sZWFkcy1uaWZ0eS1nYWluZXJzLXdpdGgtMy1nYWluLWFzLW1hcmtldC1lbmRzLWZsYXQtb24tbW9uZGF50gEA?oc=5
2,SBI wants tax parity on bank FDs with mutual funds & equity markets in Budget - The Economic Times,https://news.google.com/rss/articles/CBMilQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9zYmktd2FudHMtdGF4LXBhcml0eS1vbi1iYW5rLWZkcy13aXRoLW11dHVhbC1mdW5kcy1lcXVpdHktbWFya2V0cy1pbi1idWRnZXQvYXJ0aWNsZXNob3cvMTExNTczNzIxLmNtc9IBmQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy9zYmktd2FudHMtdGF4LXBhcml0eS1vbi1iYW5rLWZkcy13aXRoLW11dHVhbC1mdW5kcy1lcXVpdHktbWFya2V0cy1pbi1idWRnZXQvYW1wX2FydGljbGVzaG93LzExMTU3MzcyMS5jbXM?oc=5
3,"Rs 85,000 Crore Order Book: Railway Infra Company Hits Fresh 52-Week High with Heavy Volumes; Stock Gains 370 per cent in Just 1 Year - Dalal Street Investment Journal",https://news.google.com/rss/articles/CBMirgFodHRwczovL3d3dy5kc2lqLmluL2RzaWphcnRpY2xlZGV0YWlsL3JzLTg1MDAwLWNyb3JlLW9yZGVyLWJvb2stcmFpbHdheS1pbmZyYS1jb21wYW55LWhpdHMtZnJlc2gtNTItd2Vlay1oaWdoLXdpdGgtaGVhdnktdm9sdW1lcy1zdG9jay1nYWlucy0zNzAtcGVyLWNlbnQtaW4tanVzdC0xLXllYXItMzk2MDHSAQA?oc=5
4,Trade Setup For July 9: Investors Await Q1 Earnings As Nifty Faces Key Resistance Levels - NDTV Profit,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3Lm5kdHZwcm9maXQuY29tL21hcmtldHMvdHJhZGUtc2V0dXAtZm9yLWp1bHktOS1pbnZlc3RvcnMtYXdhaXQtcTEtZWFybmluZ3MtYXMtbmlmdHktZmFjZXMta2V5LXJlc2lzdGFuY2UtbGV2ZWxz0gF-aHR0cHM6Ly93d3cubmR0dnByb2ZpdC5jb20vYW1wL21hcmtldHMvdHJhZGUtc2V0dXAtZm9yLWp1bHktOS1pbnZlc3RvcnMtYXdhaXQtcTEtZWFybmluZ3MtYXMtbmlmdHktZmFjZXMta2V5LXJlc2lzdGFuY2UtbGV2ZWxz?oc=5
5,"Ola replaces Google Maps with in-house ‘Ola Maps’, announces API for developers - The Indian Express",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS90ZWNobm9sb2d5L3RlY2gtbmV3cy10ZWNobm9sb2d5L29sYS1yZXBsYWNlcy1nb29nbGUtbWFwcy13aXRoLWluLWhvdXNlLW9sYS1tYXBzLTk0Mzc4OTgv0gF_aHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL3RlY2hub2xvZ3kvdGVjaC1uZXdzLXRlY2hub2xvZ3kvb2xhLXJlcGxhY2VzLWdvb2dsZS1tYXBzLXdpdGgtaW4taG91c2Utb2xhLW1hcHMtOTQzNzg5OC9saXRlLw?oc=5
6,Tata Motors Q1 update: Global wholesales increase 2% YoY; stock jumps | Stock Market News - Mint,https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RhdGEtbW90b3JzLXExLXVwZGF0ZS1nbG9iYWwtd2hvbGVzYWxlcy1pbmNyZWFzZS0yLXlveS1zdG9jay1qdW1wcy0xMTcyMDQzNTc2MjEyMi5odG1s0gGMAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvc3RvY2stbWFya2V0LW5ld3MvdGF0YS1tb3RvcnMtcTEtdXBkYXRlLWdsb2JhbC13aG9sZXNhbGVzLWluY3JlYXNlLTIteW95LXN0b2NrLWp1bXBzL2FtcC0xMTcyMDQzNTc2MjEyMi5odG1s?oc=5
7,"Kia India Introduces New Variants For Seltos, Sonet - Mobility Outlook",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm1vYmlsaXR5b3V0bG9vay5jb20vbmV3cy9raWEtaW5kaWEtaW50cm9kdWNlcy1uZXctdmFyaWFudHMtZm9yLXNlbHRvcy1zb25ldC_SAQA?oc=5
8,Liver Doc slams Nikhil Kamath for glorifying 'business of alcohol' in his podcast: 'It's a crime' - Moneycontrol,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdHJlbmRzL2xpdmVyLWRvYy1zbGFtcy1uaWtoaWwta2FtYXRoLWZvci1nbG9yaWZ5aW5nLWJ1c2luZXNzLW9mLWFsY29ob2wtaXRzLWEtY3JpbWUtMTI3NjQzODcuaHRtbNIBhwFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdHJlbmRzL2xpdmVyLWRvYy1zbGFtcy1uaWtoaWwta2FtYXRoLWZvci1nbG9yaWZ5aW5nLWJ1c2luZXNzLW9mLWFsY29ob2wtaXRzLWEtY3JpbWUtMTI3NjQzODcuaHRtbC9hbXA?oc=5
9,L&T Enhances its Renewables Portfolio: Finalises (Mega*) Orders for Solar Plants in the Middle East - L&T,https://news.google.com/rss/articles/CBMilQFodHRwczovL3d3dy5sYXJzZW50b3Vicm8uY29tL3ByZXNzcmVsZWFzZXMvMjAyNC0wNy0wOC1sdC1lbmhhbmNlcy1pdHMtcmVuZXdhYmxlcy1wb3J0Zm9saW8tZmluYWxpc2VzLW1lZ2Etb3JkZXJzLWZvci1zb2xhci1wbGFudHMtaW4tdGhlLW1pZGRsZS1lYXN0L9IBAA?oc=5
10,Adani Wilmar shares jump over 4% despite weak stock market trends. More steam left? | Stock Market News - Mint,https://news.google.com/rss/articles/CBMilgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2FkYW5pLXdpbG1hci1zaGFyZXMtanVtcC1vdmVyLTQtZGVzcGl0ZS13ZWFrLXN0b2NrLW1hcmtldC10cmVuZHMtbW9yZS1zdGVhbS1sZWZ0LTExNzIwNDIwNzc5NTc4Lmh0bWzSAZoBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy9hZGFuaS13aWxtYXItc2hhcmVzLWp1bXAtb3Zlci00LWRlc3BpdGUtd2Vhay1zdG9jay1tYXJrZXQtdHJlbmRzLW1vcmUtc3RlYW0tbGVmdC9hbXAtMTE3MjA0MjA3Nzk1NzguaHRtbA?oc=5
11,Blackstone in advanced talks for controlling stake in Haldiram's - Moneycontrol,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9ibGFja3N0b25lLWhhbGRpcmFtcy1hZHZhbmNlZC10YWxrcy1jb250cm9sbGluZy1zdGFrZS0xMjc2NDMyNi5odG1s0gEA?oc=5
12,Emcure Pharma IPO allotment status: Check step-by-step guide - Zee Business,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldHMvaXBvL25ld3MtZW1jdXJlLWlwby1hbGxvdG1lbnQtc3RhdHVzLWxpbmtpbnRpbWUtYnNlLXBhbi1zdGVwLWJ5LXN0ZXAtZ3VpZGUtc2hhcmUtbGlzdGluZy1kYXRlLTMwMDI1MtIBhwFodHRwczovL3d3dy56ZWViaXouY29tL21hcmtldHMvaXBvL25ld3MtZW1jdXJlLWlwby1hbGxvdG1lbnQtc3RhdHVzLWxpbmtpbnRpbWUtYnNlLXBhbi1zdGVwLWJ5LXN0ZXAtZ3VpZGUtc2hhcmUtbGlzdGluZy1kYXRlLTMwMDI1Mi9hbXA?oc=5
13,Titan gets a downgrade as Street turns cautious post Q1 business update - CNBCTV18,https://news.google.com/rss/articles/CBMinAFodHRwczovL3d3dy5jbmJjdHYxOC5jb20vbWFya2V0L3RpdGFuLXNoYXJlLXByaWNlLWpwbW9yZ2FuLWRvd25ncmFkZS1xMS1idXNpbmVzcy11cGRhdGUtamV3ZWxsZXJ5LW1hcmdpbi1wcmVzc3VyZS1wZWVyLW91dHBlcmZvcm1zLTIwMjQtcmV0dXJucy0xOTQzOTUyMy5odG3SAaABaHR0cHM6Ly93d3cuY25iY3R2MTguY29tL21hcmtldC90aXRhbi1zaGFyZS1wcmljZS1qcG1vcmdhbi1kb3duZ3JhZGUtcTEtYnVzaW5lc3MtdXBkYXRlLWpld2VsbGVyeS1tYXJnaW4tcHJlc3N1cmUtcGVlci1vdXRwZXJmb3Jtcy0yMDI0LXJldHVybnMtMTk0Mzk1MjMuaHRtL2FtcA?oc=5
14,Bajaj Freedom 125: Top 10 Stats About The World’s First CNG Motorcycle - carandbike,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmNhcmFuZGJpa2UuY29tL25ld3MvYmFqYWotZnJlZWRvbS0xMjUtdG9wLTEwLXN0YXRzLWFib3V0LXRoZS13b3JsZHMtZmlyc3QtY25nLW1vdG9yY3ljbGUtMzIxMzc3NtIBcmh0dHBzOi8vd3d3LmNhcmFuZGJpa2UuY29tL25ld3MvYmFqYWotZnJlZWRvbS0xMjUtdG9wLTEwLXN0YXRzLWFib3V0LXRoZS13b3JsZHMtZmlyc3QtY25nLW1vdG9yY3ljbGUtMzIxMzc3Nj9hbXA9MQ?oc=5
15,"Zinka Logistics Headed For ₹550 Cr IPO, Files Prospectus - Benzinga India",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vaW4uYmVuemluZ2EuY29tL2NvbnRlbnQvMzk2NTk3ODQvemlua2EtbG9naXN0aWNzLWhlYWRlZC1mb3ItNTUwLWNyLWlwby1maWxlcy1wcm9zcGVjdHVz0gEA?oc=5
16,"Brightcom Group, Bohra Industries & others hit 52 week low today ;Check the full list here? | Stock Market News - Mint",https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2JyaWdodGNvbS1ncm91cC1ib2hyYS1pbmR1c3RyaWVzLW90aGVycy1oaXQtNTItd2Vlay1sb3ctdG9kYXktY2hlY2stdGhlLWZ1bGwtbGlzdC1oZXJlLTExNzIwNDE2NjAxNzYxLmh0bWzSAY4BaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9icmlnaHRjb20tZ3JvdXAtYm9ocmEtaW5kdXN0cmllcy1vdGhlcnMtaGl0LTUyLXdlZWstbG93LXRvZGF5LWNoZWNrLXRoZS1mdWxsLWxpc3QtaGVyZS9hbXAtMTE3MjA0MTY2MDE3NjEuaHRtbA?oc=5
17,3 new Jio 5G True Unlimited Upgrade plans available now: how to get them - 91mobiles,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LjkxbW9iaWxlcy5jb20vaHViL2ppby01Zy10cnVlLXVubGltaXRlZC11cGdyYWRlLXBsYW5zLWF2YWlsYWJsZS1ob3ctdG8tZ2V0L9IBAA?oc=5
