news_headline,news_article,news_category,full_text,clean_text
Troubling questions of AI remain a challenge: Govt prior to Budget,"Ahead of Interim Budget, Finance Ministry said AI poses a challenge to governments globally due to questions it poses to employment, particularly in services sector. In its review report, it added technology may remove the ""advantage of cost competitiveness that countries exporting digital services enjoy"". This comes as reports claimed upcoming Budget will have huge announcements related to AI.",technology,"Troubling questions of AI remain a challenge: Govt prior to Budget. Ahead of Interim Budget, Finance Ministry said AI poses a challenge to governments globally due to questions it poses to employment, particularly in services sector. In its review report, it added technology may remove the ""advantage of cost competitiveness that countries exporting digital services enjoy"". This comes as reports claimed upcoming Budget will have huge announcements related to AI.",troubling question ai remain challenge govt prior budget ahead interim budget finance ministry say ai pose challenge government globally due question pose employment particularly service sector review report add technology may remove advantage cost competitiveness country export digital service enjoy come report claim upcoming budget huge announcement relate ai
Move near office or quit: IBM to US managers,"IBM asked US managers still working remotely to either move near an office or leave the company. All US managers must immediately report to an office or client location at least three days a week ""regardless of current work location status"", a company memo said. Managers who don't relocate by the start of August ""must separate from IBM"", it added.",technology,"Move near office or quit: IBM to US managers. IBM asked US managers still working remotely to either move near an office or leave the company. All US managers must immediately report to an office or client location at least three days a week ""regardless of current work location status"", a company memo said. Managers who don't relocate by the start of August ""must separate from IBM"", it added.",move near office quit ibm us manager ibm ask manager still work remotely either move near office leave company us manager must immediately report office client location least three day week regardless current work location status company memo say manager not relocate start august must separate ibm add
First human received a brain implant from Neuralink,"Elon Musk's Neuralink has implanted one of its wireless brain chips in a human for the first time, who is recovering well and seeing ""promising neuron spike detection."" The company's first product, Telepathy, would enable users to control a phone or computer simply by thinking, as demonstrated in previous experiments with Pong-playing monkeys.",technology,"First human received a brain implant from Neuralink. Elon Musk's Neuralink has implanted one of its wireless brain chips in a human for the first time, who is recovering well and seeing ""promising neuron spike detection."" The company's first product, Telepathy, would enable users to control a phone or computer simply by thinking, as demonstrated in previous experiments with Pong-playing monkeys.",first human receive brain implant neuralink elon musk neuralink implant one wireless brain chip human first time recover well see promise neuron spike detection company first product telepathy would enable user control phone computer simply thinking demonstrate previous experiment pong play monkey
"iPhone 15 at Rs 61,500: Only 24 hours remaining for this offer","The Apple iPhone 15 128GB now retails for an effective Rs 61,500 on Flipkart month end discounts, nearly 25% cheaper than launch. Alluring exchange deals, EMI schemes and the lowest cost for advanced cameras, iOS 16, Dynamic Island further bolster appeal. Apple banks on promotional pricing to dramatically expand India market share.",technology,"iPhone 15 at Rs 61,500: Only 24 hours remaining for this offer. The Apple iPhone 15 128GB now retails for an effective Rs 61,500 on Flipkart month end discounts, nearly 25% cheaper than launch. Alluring exchange deals, EMI schemes and the lowest cost for advanced cameras, iOS 16, Dynamic Island further bolster appeal. Apple banks on promotional pricing to dramatically expand India market share.",iphone rs hour remain offer apple iphone gb retail effective rs flipkart month end discount nearly cheap launch alluring exchange deal emi scheme low cost advanced camera io dynamic island far bolster appeal apple bank promotional pricing dramatically expand india market share
Stephen Hawking could communicate faster than speed typist: Musk on brain chip,"Elon Musk's startup Neuralink implanted brain chip in a human patient to enable control of any device by just thinking. Sharing an update about Neuralink's first product 'Telepathy', Musk posted on X, ""Imagine if Stephen Hawking could communicate faster than a speed typist or auctioneer. That is the goal."" Physicist Hawking, who suffered from motor-neuron disease ALS, died in 2018.",technology,"Stephen Hawking could communicate faster than speed typist: Musk on brain chip. Elon Musk's startup Neuralink implanted brain chip in a human patient to enable control of any device by just thinking. Sharing an update about Neuralink's first product 'Telepathy', Musk posted on X, ""Imagine if Stephen Hawking could communicate faster than a speed typist or auctioneer. That is the goal."" Physicist Hawking, who suffered from motor-neuron disease ALS, died in 2018.",stephen hawk could communicate fast speed typist musk brain chip elon musk startup neuralink implant brain chip human patient enable control device think share update neuralink first product telepathy musk post x imagine stephen hawk could communicate fast speed typist auctioneer goal physicist hawking suffer motor neuron disease al die
Microsoft CEO will meet Indian AI founders while visiting India,"Microsoft CEO Satya Nadella's imminent India visit spotlighting AI prospects follows organizational reshuffling of OpenAI leadership acquired by the company. With AI pivotal amid 15% projected revenue growth in 2024, engagements with Indian startup founders signal Microsoft's regional focus on democratization and localization for wider assimilation.",technology,"Microsoft CEO will meet Indian AI founders while visiting India. Microsoft CEO Satya Nadella's imminent India visit spotlighting AI prospects follows organizational reshuffling of OpenAI leadership acquired by the company. With AI pivotal amid 15% projected revenue growth in 2024, engagements with Indian startup founders signal Microsoft's regional focus on democratization and localization for wider assimilation.",microsoft ceo meet indian ai founder visit india microsoft ceo satya nadella imminent india visit spotlight ai prospect follow organizational reshuffling openai leadership acquire company ai pivotal amid project revenue growth engagement indian startup founder signal microsoft regional focus democratization localization wide assimilation
New robotic sensor uses AI to read Braille,The research team from the University of Cambridge has developed a robotic sensor that incorporates artificial intelligence techniques to read Braille at speeds roughly double that of most human readers. Researchers used machine learning algorithms to teach a robotic sensor to quickly slide over lines of braille text. The robot could read the Braille at 315 words per minute.,technology,New robotic sensor uses AI to read Braille. The research team from the University of Cambridge has developed a robotic sensor that incorporates artificial intelligence techniques to read Braille at speeds roughly double that of most human readers. Researchers used machine learning algorithms to teach a robotic sensor to quickly slide over lines of braille text. The robot could read the Braille at 315 words per minute.,new robotic sensor use ai read braille research team university cambridge develop robotic sensor incorporate artificial intelligence technique read braille speed roughly double human reader researcher use machine learn algorithm teach robotic sensor quickly slide line braille text robot could read braille word per minute
"OnePlus silently launches a budget smartphone at Rs 13,650","OnePlus revealed the new Nord N30 SE 5G budget phone in the UAE at $163 featuring Dimensity 602 chip, 4GB RAM, 50MP camera, Android 13 software and 33W fast charging. The 6.7-inch phone targets value seekers with reliable OnePlus software experience and 5G connectivity at an affordable price.",technology,"OnePlus silently launches a budget smartphone at Rs 13,650. OnePlus revealed the new Nord N30 SE 5G budget phone in the UAE at $163 featuring Dimensity 602 chip, 4GB RAM, 50MP camera, Android 13 software and 33W fast charging. The 6.7-inch phone targets value seekers with reliable OnePlus software experience and 5G connectivity at an affordable price.",oneplus silently launch budget smartphone rs oneplus reveal new nord n se g budget phone uae feature dimensity chip gb ram mp camera android software w fast charging inch phone target value seeker reliable oneplus software experience g connectivity affordable price
How & why did Elon Musk's Neuralink insert a chip inside a human brain?,"Billionaire Elon Musk's Neuralink surgically inserted a wireless chip in a human brain for the first time, using a robot. The implant, about the size of five stacked coins, is placed in the brain region that controls the intention to move. The initial aim is to enable people who've lost use of their limbs, to control devices with their thoughts.",technology,"How & why did Elon Musk's Neuralink insert a chip inside a human brain?. Billionaire Elon Musk's Neuralink surgically inserted a wireless chip in a human brain for the first time, using a robot. The implant, about the size of five stacked coins, is placed in the brain region that controls the intention to move. The initial aim is to enable people who've lost use of their limbs, to control devices with their thoughts.",elon musk neuralink insert chip inside human brain billionaire elon musk neuralink surgically insert wireless chip human brain first time use robot implant size five stack coin place brain region control intention move initial aim enable people lose use limb control device thought
Virtual reality and AI will transform real estate market,In the year 2024 the real estate industry undergoes a transformation through the use of Virtual Reality (VR) and Augmented Reality (AR). These technologies redefine how properties are explored while Blockchain ensures transactions. Additionally Artificial Intelligence (AI) empowers data driven strategies. This fusion of technology reshapes both transactions and experiences in estate.,technology,Virtual reality and AI will transform real estate market. In the year 2024 the real estate industry undergoes a transformation through the use of Virtual Reality (VR) and Augmented Reality (AR). These technologies redefine how properties are explored while Blockchain ensures transactions. Additionally Artificial Intelligence (AI) empowers data driven strategies. This fusion of technology reshapes both transactions and experiences in estate.,virtual reality ai transform real estate market year real estate industry undergo transformation use virtual reality vr augment reality ar technology redefine property explore blockchain ensure transaction additionally artificial intelligence ai empower datum drive strategy fusion technology reshape transaction experience estate
